ReadID	Reference	ReadLength
SRR27421013.67687	NC_012157.1	6556
SRR27421013.161425	NC_012157.1	5198
SRR27421013.135225	NC_012157.1	7430
SRR27421013.160151	NC_012157.1	5770
SRR27421013.159792	NC_012157.1	7130
SRR27421013.40820	NC_012157.1	6842
SRR27421013.15801	NC_012157.1	6760
SRR27421013.11760	NC_012157.1	7199
SRR27421013.69131	NC_012157.1	7212
SRR27421013.118373	NC_012157.1	8111
SRR27421013.76877	NC_012157.1	7015
SRR27421013.268288	NC_012157.1	6568
SRR27421013.75513	NC_012158.1	6729
SRR27421013.75730	NC_012158.1	23939
SRR27421013.76691	NC_012158.1	32645
SRR27421013.121264	NC_012158.1	18704
SRR27421013.137709	NC_012158.1	10352
SRR27421013.162551	NC_012158.1	28173
SRR27421013.169318	NC_012158.1	8857
SRR27421013.213686	NC_012158.1	31297
SRR27421013.38757	NC_012158.1	9385
SRR27421013.64931	NC_012158.1	15784
SRR27421013.137586	NC_012158.1	10352
SRR27421013.169973	NC_012158.1	9162
SRR27421013.182837	NC_012158.1	31024
SRR27421013.200392	NC_012158.1	15803
SRR27421013.237623	NC_012158.1	31612
SRR27421013.265454	NC_012158.1	10365
SRR27421013.243127	NC_012158.1	9406
SRR27421013.219684	NC_012158.1	9533
SRR27421013.166236	NC_012158.1	12526
SRR27421013.182732	NC_012158.1	9737
SRR27421013.238371	NC_012158.1	19831
SRR27421013.11172	NC_012158.1	9790
SRR27421013.76207	NC_012158.1	18386
SRR27421013.9754	NC_012158.1	9395
SRR27421013.167714	NC_012158.1	25670
SRR27421013.270230	NC_012158.1	6698
SRR27421013.117384	NC_012158.1	5199
SRR27421013.15712	NC_012158.1	6583
SRR27421013.241134	NC_012158.1	5634
SRR27421013.163110	NC_012158.1	10083
SRR27421013.142622	NC_012158.1	6686
SRR27421013.104838	NC_012158.1	32620
SRR27421013.119965	NC_012158.1	5663
SRR27421013.67456	NC_012158.1	9170
SRR27421013.220407	NC_012158.1	9664
SRR27421013.200896	NC_012158.1	6296
SRR27421013.187330	NC_012158.1	15239
SRR27421013.36003	NC_012158.1	7028
SRR27421013.248566	NC_012158.1	5311
SRR27421013.102576	NC_012158.1	31318
SRR27421013.127417	NC_012158.1	7012
SRR27421013.96234	NC_012158.1	18797
SRR27421013.146444	NC_012158.1	27117
SRR27421013.32746	NC_012158.1	9774
SRR27421013.17458	NC_012158.1	17291
SRR27421013.63922	NC_012158.1	5746
SRR27421013.49751	NC_012158.1	8611
SRR27421013.182300	NC_012158.1	9558
SRR27421013.51761	NC_012158.1	8902
SRR27421013.195505	NC_012158.1	30968
SRR27421013.7017	NC_012158.1	9239
SRR27421013.33279	NC_012158.1	5387
SRR27421013.262972	NC_012158.1	6682
SRR27421013.135281	NC_012158.1	16993
SRR27421013.73971	NC_012158.1	8624
SRR27421013.75986	NC_012158.1	9279
SRR27421013.266628	NC_012158.1	18932
SRR27421013.112313	NC_012158.1	8831
SRR27421013.264046	NC_012158.1	6409
SRR27421013.211041	NC_012158.1	6250
SRR27421013.212913	NC_012158.1	9200
SRR27421013.237893	NC_012158.1	5405
SRR27421013.125044	NC_012158.1	9425
SRR27421013.253010	NC_012158.1	9003
SRR27421013.152453	NC_012158.1	9961
SRR27421013.12857	NC_012158.1	6267
SRR27421013.35887	NC_012158.1	6200
SRR27421013.315	NC_012152.1	6398
SRR27421013.1858	NC_012152.1	6473
SRR27421013.1926	NC_012152.1	6061
SRR27421013.2833	NC_012152.1	6994
SRR27421013.3143	NC_012152.1	8603
SRR27421013.3822	NC_012152.1	9262
SRR27421013.4140	NC_012152.1	6724
SRR27421013.4664	NC_012152.1	9870
SRR27421013.5254	NC_012152.1	6627
SRR27421013.6757	NC_012152.1	7471
SRR27421013.6984	NC_012152.1	5804
SRR27421013.7188	NC_012152.1	6908
SRR27421013.7491	NC_012152.1	6528
SRR27421013.8753	NC_012152.1	6978
SRR27421013.8891	NC_012152.1	9882
SRR27421013.9366	NC_012152.1	9548
SRR27421013.10057	NC_012152.1	9419
SRR27421013.10504	NC_012152.1	9960
SRR27421013.10969	NC_012152.1	6777
SRR27421013.11484	NC_012152.1	6369
SRR27421013.11626	NC_012152.1	6711
SRR27421013.11812	NC_012152.1	6693
SRR27421013.13052	NC_012152.1	6790
SRR27421013.13060	NC_012152.1	7275
SRR27421013.13692	NC_012152.1	5087
SRR27421013.13729	NC_012152.1	9693
SRR27421013.14108	NC_012152.1	5818
SRR27421013.14456	NC_012152.1	6793
SRR27421013.14473	NC_012152.1	7103
SRR27421013.14761	NC_012152.1	6620
SRR27421013.15247	NC_012152.1	6281
SRR27421013.15760	NC_012152.1	9630
SRR27421013.15773	NC_012152.1	6410
SRR27421013.15778	NC_012152.1	9318
SRR27421013.15922	NC_012152.1	6635
SRR27421013.16202	NC_012152.1	6212
SRR27421013.16429	NC_012152.1	6644
SRR27421013.16456	NC_012152.1	6832
SRR27421013.16507	NC_012152.1	6560
SRR27421013.16670	NC_012152.1	9616
SRR27421013.16874	NC_012152.1	9734
SRR27421013.17253	NC_012152.1	9220
SRR27421013.17416	NC_012152.1	6706
SRR27421013.17702	NC_012152.1	6735
SRR27421013.17836	NC_012152.1	6256
SRR27421013.18745	NC_012152.1	6517
SRR27421013.18842	NC_012152.1	5055
SRR27421013.19772	NC_012152.1	5753
SRR27421013.20691	NC_012152.1	6616
SRR27421013.21211	NC_012152.1	9470
SRR27421013.21610	NC_012152.1	6686
SRR27421013.21786	NC_012152.1	8247
SRR27421013.22020	NC_012152.1	7002
SRR27421013.23512	NC_012152.1	8060
SRR27421013.23656	NC_012152.1	6794
SRR27421013.23798	NC_012152.1	9100
SRR27421013.23818	NC_012152.1	9750
SRR27421013.24428	NC_012152.1	9663
SRR27421013.25538	NC_012152.1	6334
SRR27421013.26393	NC_012152.1	6514
SRR27421013.27646	NC_012152.1	6179
SRR27421013.27826	NC_012152.1	6539
SRR27421013.27880	NC_012152.1	6919
SRR27421013.27953	NC_012152.1	6494
SRR27421013.28743	NC_012152.1	7662
SRR27421013.29507	NC_012152.1	6908
SRR27421013.29724	NC_012152.1	6843
SRR27421013.29810	NC_012152.1	6249
SRR27421013.29818	NC_012152.1	6160
SRR27421013.30660	NC_012152.1	6910
SRR27421013.31150	NC_012152.1	7367
SRR27421013.31203	NC_012152.1	5734
SRR27421013.31279	NC_012152.1	6711
SRR27421013.31346	NC_012152.1	6924
SRR27421013.31708	NC_012152.1	6420
SRR27421013.31880	NC_012152.1	10162
SRR27421013.32259	NC_012152.1	7720
SRR27421013.32314	NC_012152.1	8277
SRR27421013.32376	NC_012152.1	11330
SRR27421013.33035	NC_012152.1	7119
SRR27421013.33182	NC_012152.1	6789
SRR27421013.33436	NC_012152.1	12849
SRR27421013.34354	NC_012152.1	6631
SRR27421013.34690	NC_012152.1	7074
SRR27421013.35459	NC_012152.1	6250
SRR27421013.35837	NC_012152.1	7618
SRR27421013.36051	NC_012152.1	9256
SRR27421013.36405	NC_012152.1	6778
SRR27421013.36530	NC_012152.1	9843
SRR27421013.36681	NC_012152.1	9259
SRR27421013.37456	NC_012152.1	9629
SRR27421013.37487	NC_012152.1	6468
SRR27421013.37664	NC_012152.1	6883
SRR27421013.38622	NC_012152.1	7467
SRR27421013.38690	NC_012152.1	9396
SRR27421013.38871	NC_012152.1	6665
SRR27421013.38952	NC_012152.1	6918
SRR27421013.39148	NC_012152.1	16241
SRR27421013.39446	NC_012152.1	5904
SRR27421013.39661	NC_012152.1	6860
SRR27421013.39716	NC_012152.1	5692
SRR27421013.39733	NC_012152.1	6025
SRR27421013.39842	NC_012152.1	9072
SRR27421013.40069	NC_012152.1	6811
SRR27421013.41452	NC_012152.1	6697
SRR27421013.41652	NC_012152.1	6163
SRR27421013.42713	NC_012152.1	6665
SRR27421013.42795	NC_012152.1	6687
SRR27421013.42806	NC_012152.1	6963
SRR27421013.43025	NC_012152.1	8862
SRR27421013.43135	NC_012152.1	6394
SRR27421013.43637	NC_012152.1	6816
SRR27421013.45024	NC_012152.1	10142
SRR27421013.45695	NC_012152.1	13433
SRR27421013.46339	NC_012152.1	6071
SRR27421013.46355	NC_012152.1	6791
SRR27421013.47470	NC_012152.1	9877
SRR27421013.47594	NC_012152.1	6909
SRR27421013.47979	NC_012152.1	9847
SRR27421013.48089	NC_012152.1	6735
SRR27421013.48738	NC_012152.1	8066
SRR27421013.48790	NC_012152.1	9483
SRR27421013.49039	NC_012152.1	7014
SRR27421013.49383	NC_012152.1	5985
SRR27421013.49694	NC_012152.1	6552
SRR27421013.49804	NC_012152.1	8461
SRR27421013.49808	NC_012152.1	6477
SRR27421013.50414	NC_012152.1	6502
SRR27421013.50579	NC_012152.1	6067
SRR27421013.50582	NC_012152.1	6264
SRR27421013.50956	NC_012152.1	7225
SRR27421013.51409	NC_012152.1	7041
SRR27421013.51899	NC_012152.1	7705
SRR27421013.51971	NC_012152.1	6543
SRR27421013.52079	NC_012152.1	6925
SRR27421013.52300	NC_012152.1	9427
SRR27421013.52654	NC_012152.1	7162
SRR27421013.52951	NC_012152.1	6744
SRR27421013.53886	NC_012152.1	23222
SRR27421013.54563	NC_012152.1	6697
SRR27421013.54696	NC_012152.1	9897
SRR27421013.54780	NC_012152.1	9165
SRR27421013.54927	NC_012152.1	6777
SRR27421013.55193	NC_012152.1	9260
SRR27421013.55659	NC_012152.1	6780
SRR27421013.55953	NC_012152.1	7695
