NC_012157.1	26511	14	0
NC_012158.1	30408	28	0
NC_012152.1	30290	1956	0
NC_012156.1	30088	761	0
NC_012154.1	29762	1647	0
NC_012149.1	29912	908	0
NC_012227.1	18181	5	0
NC_012228.1	25799	1	0
NC_012202.1	54623	11	0
NC_012170.1	27775	7	0
NC_012194.1	54021	208	0
NC_012203.1	29418	17	0
NZ_ABJY02000014.1	25946	3	0
NZ_ABJY02000013.1	57720	16	0
NZ_ABJY02000012.1	83077	19	0
NZ_ABJY02000011.1	84891	32	0
NZ_ABJY02000010.1	2419	0	0
NZ_ABJY02000009.1	1414	0	0
NZ_ABJY02000008.1	209169	49	0
NZ_ABJY02000007.1	200423	37	0
NZ_ABJY02000006.1	29093	9	0
NZ_ABJY02000005.1	1406	0	0
NZ_ABJY02000004.1	1405	0	0
NZ_ABJY02000003.1	59106	14	0
NZ_ABJY02000002.1	150291	36	0
NZ_ABJY02000001.1	1206	1	0
*	0	0	0
