#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_012157.1	1	26511	12	26509	99.9925	2.62069	37	60
NC_012158.1	1	30408	67	30408	100	23.9141	34.8	59.9
NC_012152.1	1	30290	10204	30290	100	2214.76	35.3	60
NC_012156.1	1	30088	3796	30088	100	2246.04	35.5	59
NC_012154.1	1	29762	7518	29762	100	4386.07	35.4	59.1
NC_012149.1	1	29912	1787	29912	100	1033.7	35.5	60
NC_012227.1	1	18181	3	10577	58.1761	1.22645	38.7	60
NC_012202.1	1	54623	5	19283	35.302	0.635172	32.2	60
NC_012170.1	1	27775	6	19358	69.6958	1.5124	33.5	60
NC_012194.1	1	54021	145	54021	100	16.3568	35.1	60
NC_012203.1	1	29418	6	20039	68.1182	1.06567	34.6	60
NZ_ABJY02000014.1	1	25946	4	13472	51.9232	0.820396	34.7	60
NZ_ABJY02000013.1	1	57720	14	44712	77.4636	1.52507	33.5	60
NZ_ABJY02000012.1	1	83077	11	53935	64.9217	1.13693	31.2	60
NZ_ABJY02000011.1	1	84891	10	36830	43.385	0.630314	37.1	60
NZ_ABJY02000008.1	1	209169	40	128308	61.3418	1.22501	33.7	60
NZ_ABJY02000007.1	1	200423	46	150002	74.8427	1.5428	36	59.5
NZ_ABJY02000006.1	1	29093	11	29093	100	3.12704	38.7	60
NZ_ABJY02000003.1	1	59106	5	20864	35.2993	0.411667	35.4	60
NZ_ABJY02000002.1	1	150291	27	86868	57.7999	1.1427	36.2	60
NC_012228.1	1	25799	0	0	0	0	0	0
NZ_ABJY02000010.1	1	2419	0	0	0	0	0	0
NZ_ABJY02000009.1	1	1414	0	0	0	0	0	0
NZ_ABJY02000005.1	1	1406	0	0	0	0	0	0
NZ_ABJY02000004.1	1	1405	0	0	0	0	0	0
NZ_ABJY02000001.1	1	1206	0	0	0	0	0	0
