#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_012157.1	1	26511	14	24537	92.554	2.84376	29.2	60
NC_012158.1	1	30408	28	30408	100	11.0396	35.1	59.8
NC_012152.1	1	30290	1956	30290	100	443.279	34	60
NC_012156.1	1	30088	761	30088	100	339.719	34	58.7
NC_012154.1	1	29762	1647	29762	100	739.922	33.9	58.9
NC_012149.1	1	29912	908	29912	100	383.699	34.3	59.9
NC_012227.1	1	18181	5	12961	71.2887	1.28497	36.8	60
NC_012228.1	1	25799	1	5326	20.6442	0.206442	34.7	60
NC_012202.1	1	54623	11	39221	71.8031	1.08919	33.4	60
NC_012170.1	1	27775	7	20689	74.4878	1.6351	32.5	60
NC_012194.1	1	54021	208	54021	100	21.7044	34.2	59.9
NC_012203.1	1	29418	17	29051	98.7525	3.11105	27.1	60
NZ_ABJY02000014.1	1	25946	3	13498	52.0234	0.608071	36	60
NZ_ABJY02000013.1	1	57720	16	51133	88.588	1.79832	35.8	60
NZ_ABJY02000012.1	1	83077	19	72459	87.2191	1.48477	30.3	60
NZ_ABJY02000011.1	1	84891	32	83613	98.4945	2.52041	34.5	60
NZ_ABJY02000008.1	1	209169	49	160745	76.8493	1.51457	34.6	60
NZ_ABJY02000007.1	1	200423	37	153342	76.5092	1.17373	34.3	60
NZ_ABJY02000006.1	1	29093	9	27643	95.016	1.53961	31.7	60
NZ_ABJY02000003.1	1	59106	14	51326	86.8372	1.66098	28.4	60
NZ_ABJY02000002.1	1	150291	36	110062	73.2326	1.41035	34.7	60
NZ_ABJY02000001.1	1	1206	1	1203	99.7512	0.997512	39.5	60
NZ_ABJY02000010.1	1	2419	0	0	0	0	0	0
NZ_ABJY02000009.1	1	1414	0	0	0	0	0	0
NZ_ABJY02000005.1	1	1406	0	0	0	0	0	0
NZ_ABJY02000004.1	1	1405	0	0	0	0	0	0
