NC_012157.1	26511	12	0
NC_012158.1	30408	67	0
NC_012152.1	30290	10204	0
NC_012156.1	30088	3796	0
NC_012154.1	29762	7518	0
NC_012149.1	29912	1787	0
NC_012227.1	18181	3	0
NC_012228.1	25799	0	0
NC_012202.1	54623	5	0
NC_012170.1	27775	6	0
NC_012194.1	54021	145	0
NC_012203.1	29418	6	0
NZ_ABJY02000014.1	25946	4	0
NZ_ABJY02000013.1	57720	14	0
NZ_ABJY02000012.1	83077	11	0
NZ_ABJY02000011.1	84891	10	0
NZ_ABJY02000010.1	2419	0	0
NZ_ABJY02000009.1	1414	0	0
NZ_ABJY02000008.1	209169	40	0
NZ_ABJY02000007.1	200423	46	0
NZ_ABJY02000006.1	29093	11	0
NZ_ABJY02000005.1	1406	0	0
NZ_ABJY02000004.1	1405	0	0
NZ_ABJY02000003.1	59106	5	0
NZ_ABJY02000002.1	150291	27	0
NZ_ABJY02000001.1	1206	0	0
*	0	0	0
