ReadID	Reference	ReadLength
SRR27421011.23738	NC_012157.1	8580
SRR27421011.27725	NC_012157.1	6896
SRR27421011.2261	NC_012157.1	9013
SRR27421011.18161	NC_012157.1	6203
SRR27421011.10159	NC_012157.1	6827
SRR27421011.27330	NC_012157.1	5017
SRR27421011.16227	NC_012157.1	5757
SRR27421011.24115	NC_012157.1	8076
SRR27421011.13281	NC_012157.1	6070
SRR27421011.9560	NC_012157.1	5897
SRR27421011.747	NC_012157.1	6109
SRR27421011.18352	NC_012157.1	7352
SRR27421011.24964	NC_012157.1	6842
SRR27421011.23552	NC_012157.1	5221
SRR27421011.1616	NC_012158.1	31446
SRR27421011.1661	NC_012158.1	38254
SRR27421011.2303	NC_012158.1	17868
SRR27421011.4645	NC_012158.1	6990
SRR27421011.12507	NC_012158.1	8928
SRR27421011.17601	NC_012158.1	8653
SRR27421011.13136	NC_012158.1	17678
SRR27421011.20707	NC_012158.1	31476
SRR27421011.24276	NC_012158.1	23482
SRR27421011.6960	NC_012158.1	6443
SRR27421011.10877	NC_012158.1	9176
SRR27421011.12946	NC_012158.1	13725
SRR27421011.5692	NC_012158.1	9817
SRR27421011.29836	NC_012158.1	5826
SRR27421011.12252	NC_012158.1	20702
SRR27421011.2066	NC_012158.1	26843
SRR27421011.12789	NC_012158.1	14152
SRR27421011.14523	NC_012158.1	17280
SRR27421011.16871	NC_012158.1	17383
SRR27421011.16478	NC_012158.1	9944
SRR27421011.4931	NC_012158.1	16025
SRR27421011.12182	NC_012158.1	9998
SRR27421011.30008	NC_012158.1	9101
SRR27421011.24709	NC_012158.1	12606
SRR27421011.22554	NC_012158.1	7057
SRR27421011.11208	NC_012158.1	8043
SRR27421011.18934	NC_012158.1	9735
SRR27421011.21823	NC_012158.1	9318
SRR27421011.256	NC_012152.1	11022
SRR27421011.451	NC_012152.1	8275
SRR27421011.846	NC_012152.1	9731
SRR27421011.912	NC_012152.1	7315
SRR27421011.1787	NC_012152.1	8838
SRR27421011.1858	NC_012152.1	9523
SRR27421011.1933	NC_012152.1	18621
SRR27421011.1980	NC_012152.1	8889
SRR27421011.2467	NC_012152.1	8674
SRR27421011.2496	NC_012152.1	6820
SRR27421011.2507	NC_012152.1	8155
SRR27421011.3147	NC_012152.1	8660
SRR27421011.3152	NC_012152.1	10001
SRR27421011.3325	NC_012152.1	7080
SRR27421011.3367	NC_012152.1	9367
SRR27421011.3609	NC_012152.1	9463
SRR27421011.3960	NC_012152.1	11028
SRR27421011.4038	NC_012152.1	6096
SRR27421011.4234	NC_012152.1	19613
SRR27421011.4318	NC_012152.1	5693
SRR27421011.5178	NC_012152.1	10006
SRR27421011.5327	NC_012152.1	6849
SRR27421011.5428	NC_012152.1	6578
SRR27421011.5611	NC_012152.1	6728
SRR27421011.5707	NC_012152.1	5459
SRR27421011.6210	NC_012152.1	6655
SRR27421011.6233	NC_012152.1	9078
SRR27421011.6615	NC_012152.1	9441
SRR27421011.6689	NC_012152.1	9641
SRR27421011.6737	NC_012152.1	8563
SRR27421011.7051	NC_012152.1	5795
SRR27421011.7073	NC_012152.1	6017
SRR27421011.7107	NC_012152.1	7105
SRR27421011.7113	NC_012152.1	6187
SRR27421011.7355	NC_012152.1	9370
SRR27421011.7648	NC_012152.1	8215
SRR27421011.7735	NC_012152.1	9276
SRR27421011.8724	NC_012152.1	6110
SRR27421011.8935	NC_012152.1	9621
SRR27421011.9194	NC_012152.1	9062
SRR27421011.9717	NC_012152.1	6646
SRR27421011.9974	NC_012152.1	18225
SRR27421011.9999	NC_012152.1	6268
SRR27421011.10030	NC_012152.1	9894
SRR27421011.10214	NC_012152.1	9189
SRR27421011.10327	NC_012152.1	10842
SRR27421011.10477	NC_012152.1	9481
SRR27421011.10791	NC_012152.1	9952
SRR27421011.10862	NC_012152.1	5985
SRR27421011.10974	NC_012152.1	6865
SRR27421011.11056	NC_012152.1	9564
SRR27421011.11247	NC_012152.1	5056
SRR27421011.11415	NC_012152.1	6500
SRR27421011.11456	NC_012152.1	9651
SRR27421011.11885	NC_012152.1	5983
SRR27421011.12088	NC_012152.1	8650
SRR27421011.12378	NC_012152.1	9928
SRR27421011.12777	NC_012152.1	9357
SRR27421011.13035	NC_012152.1	5688
SRR27421011.13097	NC_012152.1	6664
SRR27421011.13108	NC_012152.1	9504
SRR27421011.13667	NC_012152.1	7697
SRR27421011.13716	NC_012152.1	5250
SRR27421011.13770	NC_012152.1	7629
SRR27421011.13797	NC_012152.1	7914
SRR27421011.14266	NC_012152.1	9132
SRR27421011.14270	NC_012152.1	6955
SRR27421011.14745	NC_012152.1	6806
SRR27421011.14765	NC_012152.1	8522
SRR27421011.14781	NC_012152.1	6543
SRR27421011.14855	NC_012152.1	7604
SRR27421011.14883	NC_012152.1	11356
SRR27421011.14893	NC_012152.1	9289
SRR27421011.14911	NC_012152.1	7069
SRR27421011.15269	NC_012152.1	10028
SRR27421011.15798	NC_012152.1	6961
SRR27421011.15882	NC_012152.1	17542
SRR27421011.15904	NC_012152.1	6910
SRR27421011.16100	NC_012152.1	9420
SRR27421011.16198	NC_012152.1	9392
SRR27421011.16613	NC_012152.1	8549
SRR27421011.16671	NC_012152.1	5286
SRR27421011.16933	NC_012152.1	6872
SRR27421011.17054	NC_012152.1	6783
SRR27421011.17131	NC_012152.1	9500
SRR27421011.17253	NC_012152.1	8057
SRR27421011.17396	NC_012152.1	5201
SRR27421011.17430	NC_012152.1	19683
SRR27421011.17644	NC_012152.1	11118
SRR27421011.17690	NC_012152.1	9320
SRR27421011.17979	NC_012152.1	9235
SRR27421011.18232	NC_012152.1	9272
SRR27421011.18368	NC_012152.1	6415
SRR27421011.18372	NC_012152.1	7231
SRR27421011.18710	NC_012152.1	11006
SRR27421011.18958	NC_012152.1	8975
SRR27421011.19113	NC_012152.1	6909
SRR27421011.19565	NC_012152.1	9678
SRR27421011.19569	NC_012152.1	8745
SRR27421011.19590	NC_012152.1	8104
SRR27421011.19626	NC_012152.1	9845
SRR27421011.20243	NC_012152.1	7010
SRR27421011.20307	NC_012152.1	9643
SRR27421011.20455	NC_012152.1	8033
SRR27421011.20548	NC_012152.1	6428
SRR27421011.20983	NC_012152.1	9344
SRR27421011.21085	NC_012152.1	9492
SRR27421011.21160	NC_012152.1	6905
SRR27421011.21472	NC_012152.1	7465
SRR27421011.21495	NC_012152.1	7977
SRR27421011.21497	NC_012152.1	6473
SRR27421011.21736	NC_012152.1	6150
SRR27421011.21849	NC_012152.1	8208
SRR27421011.21973	NC_012152.1	9176
SRR27421011.22063	NC_012152.1	10737
SRR27421011.22121	NC_012152.1	10275
SRR27421011.22484	NC_012152.1	5894
SRR27421011.22733	NC_012152.1	6139
SRR27421011.23014	NC_012152.1	6654
SRR27421011.23052	NC_012152.1	7856
SRR27421011.23055	NC_012152.1	9359
SRR27421011.23346	NC_012152.1	9947
SRR27421011.23512	NC_012152.1	6907
SRR27421011.24079	NC_012152.1	13437
SRR27421011.24485	NC_012152.1	8040
SRR27421011.25075	NC_012152.1	9354
SRR27421011.25385	NC_012152.1	9138
SRR27421011.25397	NC_012152.1	9404
SRR27421011.25545	NC_012152.1	6901
SRR27421011.25606	NC_012152.1	9233
SRR27421011.25699	NC_012152.1	8989
SRR27421011.25881	NC_012152.1	16280
SRR27421011.25972	NC_012152.1	6084
SRR27421011.26208	NC_012152.1	18258
SRR27421011.26526	NC_012152.1	5830
SRR27421011.26764	NC_012152.1	7115
SRR27421011.26809	NC_012152.1	7085
SRR27421011.26815	NC_012152.1	8331
SRR27421011.26882	NC_012152.1	5090
SRR27421011.27095	NC_012152.1	9463
SRR27421011.27765	NC_012152.1	10103
SRR27421011.27796	NC_012152.1	7382
SRR27421011.28577	NC_012152.1	6895
SRR27421011.28633	NC_012152.1	6668
SRR27421011.29047	NC_012152.1	31680
SRR27421011.29140	NC_012152.1	6253
SRR27421011.29259	NC_012152.1	9211
SRR27421011.29276	NC_012152.1	7282
SRR27421011.29421	NC_012152.1	6834
SRR27421011.29772	NC_012152.1	6345
SRR27421011.30307	NC_012152.1	6911
SRR27421011.30360	NC_012152.1	6655
SRR27421011.157	NC_012152.1	6959
SRR27421011.176	NC_012152.1	8274
SRR27421011.1068	NC_012152.1	11801
SRR27421011.1156	NC_012152.1	12059
SRR27421011.1499	NC_012152.1	6708
SRR27421011.1713	NC_012152.1	11352
SRR27421011.1721	NC_012152.1	6871
SRR27421011.1751	NC_012152.1	9707
SRR27421011.1801	NC_012152.1	6510
SRR27421011.1979	NC_012152.1	17723
SRR27421011.2242	NC_012152.1	15210
SRR27421011.2516	NC_012152.1	8539
SRR27421011.3045	NC_012152.1	16110
SRR27421011.3124	NC_012152.1	9376
SRR27421011.3258	NC_012152.1	9629
SRR27421011.4183	NC_012152.1	9180
SRR27421011.4306	NC_012152.1	7002
SRR27421011.4351	NC_012152.1	11528
SRR27421011.4613	NC_012152.1	6300
SRR27421011.4631	NC_012152.1	6774
SRR27421011.4987	NC_012152.1	9199
SRR27421011.5121	NC_012152.1	9809
SRR27421011.5125	NC_012152.1	23425
SRR27421011.5544	NC_012152.1	9266
