NC_012157.1	26511	107	0
NC_012158.1	30408	208	0
NC_012152.1	30290	10452	0
NC_012156.1	30088	3069	0
NC_012154.1	29762	7908	0
NC_012149.1	29912	3875	0
NC_012227.1	18181	33	0
NC_012228.1	25799	3	0
NC_012202.1	54623	81	0
NC_012170.1	27775	52	0
NC_012194.1	54021	1232	0
NC_012203.1	29418	58	0
NZ_ABJY02000014.1	25946	49	0
NZ_ABJY02000013.1	57720	81	0
NZ_ABJY02000012.1	83077	116	0
NZ_ABJY02000011.1	84891	151	0
NZ_ABJY02000010.1	2419	0	0
NZ_ABJY02000009.1	1414	0	0
NZ_ABJY02000008.1	209169	360	0
NZ_ABJY02000007.1	200423	330	0
NZ_ABJY02000006.1	29093	52	0
NZ_ABJY02000005.1	1406	0	0
NZ_ABJY02000004.1	1405	0	0
NZ_ABJY02000003.1	59106	90	0
NZ_ABJY02000002.1	150291	222	0
NZ_ABJY02000001.1	1206	0	0
*	0	0	0
